Unnamed: 0,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,studio,domestic_gross,foreign_gross,year,total_gross,genres,genre_name
5256,[35],87428,en,That's My Boy,12.817,2012-06-15,That's My Boy,5.5,831,Sony,36900000,20800000,2012,57700000,35,Comedy
5257,"[18, 27, 53]",65086,en,The Woman in Black,12.781,2012-02-03,The Woman in Black,6.1,2122,CBS,54300000,73400000,2012,127700000,18,Drama
5257,"[18, 27, 53]",65086,en,The Woman in Black,12.781,2012-02-03,The Woman in Black,6.1,2122,CBS,54300000,73400000,2012,127700000,27,Horror
5257,"[18, 27, 53]",65086,en,The Woman in Black,12.781,2012-02-03,The Woman in Black,6.1,2122,CBS,54300000,73400000,2012,127700000,53,Thriller
5258,"[36, 18]",72976,en,Lincoln,12.693,2012-11-16,Lincoln,6.8,2261,BV,182200000,93100000,2012,275300000,36,History
5258,"[36, 18]",72976,en,Lincoln,12.693,2012-11-16,Lincoln,6.8,2261,BV,182200000,93100000,2012,275300000,18,Drama
5260,[35],76493,en,The Dictator,12.592,2012-05-16,The Dictator,6,3042,Par.,59700000,119700000,2012,179400000,35,Comedy
5262,"[28, 14, 27]",72331,en,Abraham Lincoln: Vampire Hunter,12.498,2012-06-22,Abraham Lincoln: Vampire Hunter,5.6,2009,Fox,37500000,79000000,2012,116500000,28,Action
5262,"[28, 14, 27]",72331,en,Abraham Lincoln: Vampire Hunter,12.498,2012-06-22,Abraham Lincoln: Vampire Hunter,5.6,2009,Fox,37500000,79000000,2012,116500000,14,Fantasy
5262,"[28, 14, 27]",72331,en,Abraham Lincoln: Vampire Hunter,12.498,2012-06-22,Abraham Lincoln: Vampire Hunter,5.6,2009,Fox,37500000,79000000,2012,116500000,27,Horror
5263,"[80, 28, 53]",49526,en,Premium Rush,12.484,2012-08-24,Premium Rush,6.2,1244,Sony,20300000,10800000,2012,31100000,80,Crime
5263,"[80, 28, 53]",49526,en,Premium Rush,12.484,2012-08-24,Premium Rush,6.2,1244,Sony,20300000,10800000,2012,31100000,28,Action
5263,"[80, 28, 53]",49526,en,Premium Rush,12.484,2012-08-24,Premium Rush,6.2,1244,Sony,20300000,10800000,2012,31100000,53,Thriller
5265,"[53, 28, 18, 80]",77866,en,Contraband,12.357,2012-01-13,Contraband,6.2,1114,Uni.,66500000,29700000,2012,96200000,53,Thriller
5265,"[53, 28, 18, 80]",77866,en,Contraband,12.357,2012-01-13,Contraband,6.2,1114,Uni.,66500000,29700000,2012,96200000,28,Action
5265,"[53, 28, 18, 80]",77866,en,Contraband,12.357,2012-01-13,Contraband,6.2,1114,Uni.,66500000,29700000,2012,96200000,18,Drama
5265,"[53, 28, 18, 80]",77866,en,Contraband,12.357,2012-01-13,Contraband,6.2,1114,Uni.,66500000,29700000,2012,96200000,80,Crime
